               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11342,            0.080493,                   0,            0.085188,             0.27701,            0.057711,            0.014994,            0.096567,            0.082782,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.084369,            0.072646,                   0,             0.27755,             0.31139,             0.20684,            0.045238,            0.082061,            0.071132,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.080658,            0.066803,                   0,              0.2942,             0.33202,             0.23924,            0.066617,            0.079646,            0.049447,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.069734,            0.067136,                   0,             0.51828,             0.60241,             0.50278,             0.20317,             0.05872,            0.058214,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.064185,             0.06177,                   0,             0.56987,             0.56385,             0.55668,             0.19617,            0.069016,            0.060572,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.056925,            0.061615,                   0,             0.66098,             0.65521,             0.72777,             0.32447,            0.055668,            0.045331,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.052842,            0.059909,                   0,             0.79727,             0.78424,             0.83614,             0.39729,            0.040604,            0.041845,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.051498,            0.057699,                   0,             0.89925,             0.79862,             0.87026,             0.42045,            0.043342,            0.042891,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.048884,            0.056384,                   0,             0.90104,             0.84971,             0.89997,             0.44269,            0.040797,            0.041118,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048248,            0.058884,                   0,             0.92216,             0.83787,             0.90193,              0.4659,            0.039853,            0.040132,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044535,            0.052602,                   0,              0.9028,             0.84854,             0.90128,             0.44392,             0.04374,            0.039856,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045288,            0.057079,                   0,             0.88962,             0.84872,             0.90395,             0.47764,            0.035812,            0.043371,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.043599,            0.052958,                   0,             0.92808,             0.81127,             0.89121,             0.42148,            0.044684,            0.043237,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.043864,            0.052182,                   0,              0.9153,             0.85658,             0.91453,             0.48013,            0.036782,             0.04089,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.042435,            0.053106,                   0,              0.9148,             0.88114,             0.92692,             0.48833,            0.035796,            0.038004,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.042186,            0.054213,                   0,             0.90448,             0.87426,              0.9194,             0.47113,            0.038523,            0.040025,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.039521,            0.052473,                   0,             0.92302,             0.83202,             0.90394,             0.46283,            0.040094,            0.042582,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041339,            0.051813,                   0,             0.90558,             0.86542,             0.91601,             0.48819,            0.035254,            0.039169,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040212,            0.053028,                   0,             0.93256,             0.80137,              0.8976,             0.49084,            0.035353,            0.044034,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040508,            0.050516,                   0,             0.91131,             0.81041,             0.89083,              0.4487,            0.038114,            0.039678,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.039187,            0.051816,                   0,             0.91019,               0.886,              0.9292,             0.50287,             0.03458,            0.038048,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.039077,            0.051086,                   0,             0.91451,             0.86162,             0.92269,             0.48087,            0.035845,            0.039419,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.037701,            0.049117,                   0,             0.92365,             0.86747,             0.92868,             0.48647,            0.036183,            0.037803,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03784,            0.050305,                   0,             0.91998,             0.87033,             0.93229,             0.50133,            0.034218,             0.03751,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.037527,            0.049674,                   0,             0.91695,             0.87846,             0.92596,             0.49009,            0.037285,             0.03831,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.037349,             0.04912,                   0,             0.92107,             0.83006,             0.90802,             0.46928,            0.038303,            0.042023,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.035538,            0.047813,                   0,             0.94533,             0.81925,             0.90889,              0.5068,            0.034006,            0.041863,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.036117,            0.049423,                   0,             0.91635,             0.87166,             0.93177,             0.49996,            0.035238,            0.037499,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.036568,            0.047675,                   0,             0.93587,             0.87819,             0.93519,             0.52583,            0.032635,            0.035462,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.03555,            0.047923,                   0,             0.92315,             0.86143,             0.92596,             0.48856,            0.036558,            0.037803,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.034979,            0.049181,                   0,             0.92408,             0.87277,             0.92209,             0.47586,            0.037788,            0.037673,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.033785,            0.048726,                   0,             0.93325,              0.8723,             0.92246,             0.51333,            0.033557,            0.039639,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.034327,            0.047093,                   0,               0.933,             0.84676,             0.91715,             0.49738,             0.03624,            0.037912,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.033219,            0.044091,                   0,             0.93557,              0.8701,             0.93405,             0.52073,            0.033621,            0.038199,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.033052,            0.043855,                   0,             0.92587,             0.88342,             0.93148,             0.49932,            0.034337,            0.037283,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.033411,            0.047467,                   0,             0.93477,             0.86346,             0.92345,              0.4928,            0.035646,            0.038397,                   0,            0.003268,            0.003268,            0.003268
