               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1141,            0.093265,                   0,            0.055783,             0.34676,             0.03918,            0.010427,              0.0961,            0.096869,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.084693,            0.085745,                   0,             0.37483,             0.49902,             0.32792,             0.11413,            0.074023,            0.071049,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.080326,             0.07959,                   0,             0.46009,             0.38212,              0.3692,            0.089629,             0.08557,             0.05376,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.070844,            0.080353,                   0,             0.46786,             0.68566,             0.48589,             0.19258,            0.061062,            0.074877,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063193,             0.07562,                   0,             0.47355,             0.65209,             0.51479,             0.18126,            0.067974,            0.064218,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.057564,            0.076474,                   0,             0.66678,             0.64538,             0.68424,             0.23479,            0.055908,            0.056865,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053681,             0.07537,                   0,             0.79371,              0.7554,             0.81772,             0.36781,            0.051009,            0.054419,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050309,            0.073406,                   0,              0.8658,             0.78094,             0.84501,             0.39562,            0.045607,            0.049054,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.048386,            0.072143,                   0,             0.87808,             0.83301,             0.89341,              0.4474,            0.042186,            0.047304,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.049357,            0.074511,                   0,              0.8844,             0.84676,             0.88964,             0.40771,            0.041707,            0.044091,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.046049,             0.06841,                   0,             0.86477,             0.78782,              0.8506,             0.38597,            0.046904,            0.049416,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045705,            0.072061,                   0,             0.89893,             0.81729,             0.89505,             0.43549,             0.04639,             0.04465,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.045485,            0.066627,                   0,             0.88274,             0.82318,             0.88684,              0.4556,            0.038688,            0.044178,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.04252,            0.065421,                   0,             0.90622,             0.87335,             0.92072,             0.47041,            0.040566,            0.040793,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.043519,            0.068387,                   0,             0.88824,             0.81196,             0.87582,             0.43254,            0.036889,             0.04719,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.041885,            0.068488,                   0,             0.89279,             0.85265,             0.89703,             0.42948,            0.043311,            0.047935,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.040796,            0.067576,                   0,             0.88297,             0.84578,             0.89635,             0.46758,            0.035798,            0.047054,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040856,            0.066476,                   0,             0.90168,             0.82908,             0.89396,             0.47572,            0.038059,             0.04547,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.040079,             0.06785,                   0,             0.90378,             0.84185,             0.90143,             0.47886,            0.036108,            0.044217,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.040054,            0.064564,                   0,             0.89134,             0.84971,             0.90555,             0.45077,            0.041605,            0.048093,                   0,            0.006436,            0.006436,            0.006436
                  20,                0.04,            0.066016,                   0,             0.88908,             0.86248,             0.90772,             0.47434,            0.036151,            0.043979,                   0,            0.006238,            0.006238,            0.006238
