               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10999,            0.086524,                   0,             0.15171,             0.25442,             0.09272,            0.020362,            0.089567,             0.11296,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.083928,            0.071239,                   0,             0.39499,             0.55599,             0.40325,             0.13156,            0.076702,            0.083429,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.079694,            0.064796,                   0,             0.63271,             0.50982,             0.57236,             0.18433,            0.076911,            0.045136,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.069183,            0.064615,                   0,             0.44111,             0.69155,               0.404,             0.14225,            0.061686,            0.050083,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063387,            0.059305,                   0,             0.56655,             0.64637,             0.49926,             0.16765,            0.065574,            0.052921,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.057946,            0.058526,                   0,             0.86333,             0.77505,             0.86873,              0.4416,            0.046184,            0.042414,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053289,            0.057458,                   0,             0.85477,             0.82417,             0.87723,             0.38816,            0.049596,            0.039552,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050892,            0.055215,                   0,             0.93122,             0.83794,             0.91364,             0.46812,            0.039035,            0.039877,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.048426,            0.054306,                   0,             0.91779,             0.84086,             0.90381,             0.44087,            0.043669,            0.041644,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.047496,            0.056718,                   0,             0.92482,             0.82165,             0.90608,             0.47702,            0.037837,            0.040074,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044622,            0.050547,                   0,             0.89834,             0.87673,             0.91666,             0.45918,            0.043546,            0.037997,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.044456,             0.05545,                   0,             0.86434,             0.79371,             0.85084,             0.37273,            0.047026,            0.043286,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.04382,            0.051399,                   0,             0.93658,             0.86248,             0.92297,             0.50876,            0.036229,            0.037777,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.042264,            0.050186,                   0,             0.92102,             0.86248,             0.92271,              0.4885,            0.037816,            0.037878,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.04215,            0.051494,                   0,              0.9143,             0.87033,             0.91533,             0.50044,             0.03531,            0.038538,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.040902,            0.052666,                   0,             0.92165,              0.8551,             0.91653,              0.4627,             0.04019,            0.040888,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.039516,            0.050207,                   0,             0.93055,             0.86837,             0.92454,             0.50168,            0.038503,            0.037451,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.040305,            0.050259,                   0,             0.93319,             0.89587,             0.94015,             0.50506,            0.035601,            0.036508,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.039092,             0.05112,                   0,             0.93306,             0.84887,             0.91172,             0.50252,            0.033468,            0.040794,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.039865,            0.048777,                   0,             0.89994,             0.85696,             0.91198,             0.46312,            0.036766,             0.03738,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.038395,            0.050086,                   0,             0.92819,             0.87609,             0.92142,             0.51848,            0.033217,            0.039596,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.038062,            0.049415,                   0,             0.92016,             0.88307,             0.93018,             0.50346,            0.035273,            0.039265,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036379,            0.047115,                   0,             0.93088,             0.86935,             0.93755,             0.51722,            0.034512,             0.03628,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.037353,            0.048617,                   0,             0.91791,             0.88605,             0.93164,             0.48597,            0.036634,            0.035691,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.037369,            0.048271,                   0,              0.9355,             0.87819,             0.92756,             0.53087,            0.032376,            0.036944,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.036876,            0.047546,                   0,             0.92429,              0.8755,             0.92261,             0.48692,            0.037094,            0.036104,                   0,            0.005248,            0.005248,            0.005248
