               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099835,            0.028139,            0.048181,             0.13669,             0.38981,              0.1632,            0.069984,            0.072465,            0.016261,             0.04022,              0.0757,              0.0027,              0.0027
                   1,            0.069972,            0.029173,            0.036936,             0.42812,             0.54985,             0.39013,             0.20033,            0.068889,            0.012072,            0.030921,            0.050391,           0.0053911,           0.0053911
                   2,            0.064978,            0.025758,            0.028953,             0.39682,             0.47991,             0.40466,             0.22794,            0.063535,           0.0099044,            0.024351,            0.024971,           0.0079713,           0.0079713
                   3,            0.064314,            0.023306,            0.023259,             0.27036,             0.52574,             0.35655,             0.19064,            0.065619,           0.0090504,            0.020745,            0.009406,            0.009406,            0.009406
                   4,            0.058697,            0.022354,            0.022057,             0.49342,             0.56396,             0.54123,             0.32279,            0.058525,            0.009628,            0.018987,            0.009406,            0.009406,            0.009406
                   5,            0.053562,            0.021308,            0.019742,             0.33056,             0.63057,             0.42441,             0.24213,            0.057223,           0.0095433,              0.0171,            0.009208,            0.009208,            0.009208
                   6,             0.05143,            0.020723,            0.014991,             0.46541,             0.70931,             0.61891,             0.39455,            0.048047,           0.0091676,            0.017418,             0.00901,             0.00901,             0.00901
                   7,            0.045588,            0.020203,            0.016859,             0.51504,             0.63968,             0.58221,             0.37847,            0.046478,           0.0088737,            0.016622,            0.008812,            0.008812,            0.008812
                   8,             0.04416,            0.019544,            0.014735,             0.51014,             0.62925,             0.58784,             0.39027,             0.04399,           0.0089929,             0.01807,            0.008614,            0.008614,            0.008614
                   9,            0.042309,             0.01888,            0.014563,             0.56187,             0.66117,             0.62683,             0.43983,            0.042889,           0.0094154,            0.017967,            0.008416,            0.008416,            0.008416
                  10,            0.041898,            0.019331,            0.013845,             0.57121,             0.60105,             0.61315,              0.4066,            0.043689,           0.0096787,            0.018539,            0.008218,            0.008218,            0.008218
                  11,            0.039777,            0.019542,            0.012811,             0.58134,             0.69222,             0.64992,             0.46206,            0.042656,           0.0096666,            0.016479,             0.00802,             0.00802,             0.00802
                  12,            0.038203,            0.018554,            0.011483,             0.62984,             0.65632,             0.68266,             0.48042,            0.043178,           0.0094301,            0.018168,            0.007822,            0.007822,            0.007822
                  13,            0.037053,            0.018509,            0.011768,             0.56036,             0.65719,             0.65559,             0.45708,            0.044363,            0.010219,            0.017989,            0.007624,            0.007624,            0.007624
                  14,            0.037063,            0.019367,            0.010682,             0.65862,             0.62715,              0.6545,             0.47574,              0.0424,            0.010258,            0.018359,            0.007426,            0.007426,            0.007426
                  15,            0.037366,            0.018504,            0.010662,             0.65635,             0.61795,             0.64827,             0.48242,            0.038809,           0.0098711,            0.019757,            0.007228,            0.007228,            0.007228
                  16,            0.034867,            0.017096,           0.0095236,             0.67038,             0.67689,             0.67233,             0.48595,            0.041874,            0.010337,            0.016927,             0.00703,             0.00703,             0.00703
                  17,            0.034568,            0.016206,           0.0083551,              0.6049,             0.68926,              0.6752,             0.47906,            0.040257,            0.010147,            0.014217,            0.006832,            0.006832,            0.006832
                  18,            0.034796,            0.017845,            0.009034,             0.62628,             0.68649,             0.67977,             0.48713,              0.0403,            0.010563,            0.013848,            0.006634,            0.006634,            0.006634
                  19,             0.03325,             0.01679,           0.0087592,             0.61146,             0.65767,             0.65248,             0.47254,            0.039239,            0.011062,            0.017763,            0.006436,            0.006436,            0.006436
                  20,            0.032772,             0.01641,           0.0082278,             0.60017,             0.63567,             0.62197,             0.45566,            0.040833,            0.011152,            0.020403,            0.006238,            0.006238,            0.006238
                  21,            0.032047,            0.016462,           0.0074525,             0.71437,             0.64167,             0.68088,             0.50722,            0.039528,            0.010749,            0.015134,             0.00604,             0.00604,             0.00604
