               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11126,             0.10002,                   0,             0.17325,             0.31532,             0.11591,            0.030598,            0.091618,             0.11139,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.085567,            0.084639,                   0,             0.33736,              0.4006,             0.26893,            0.065136,            0.077394,            0.080512,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.081327,             0.07961,                   0,             0.39011,             0.45678,             0.36982,             0.12533,            0.077165,            0.049897,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.073066,            0.076319,                   0,             0.45448,             0.67092,             0.54532,             0.18309,            0.062814,            0.071643,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.06361,            0.074182,                   0,              0.6089,             0.67485,               0.722,             0.35531,            0.057123,            0.063419,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.057164,            0.076068,                   0,             0.46932,             0.60707,             0.59145,             0.22898,            0.053056,            0.053353,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.053837,            0.073211,                   0,             0.83851,             0.78978,             0.85307,             0.40719,            0.047461,             0.04324,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050756,            0.072311,                   0,             0.87261,             0.83436,             0.88446,             0.42971,             0.04069,            0.046245,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049122,            0.070517,                   0,             0.88728,             0.85462,             0.90924,             0.46661,            0.047217,            0.045057,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.048459,            0.073213,                   0,             0.89852,              0.8222,             0.89091,             0.44938,            0.040647,            0.051819,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.044978,            0.066544,                   0,             0.89912,             0.83301,             0.90005,             0.41755,            0.046795,             0.04416,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.045438,            0.069834,                   0,             0.88685,             0.87623,              0.9178,              0.4817,            0.038162,            0.048857,                   0,             0.00802,             0.00802,             0.00802
