               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099872,            0.033301,            0.047974,             0.14705,             0.43805,             0.16929,            0.083281,            0.071228,            0.016237,            0.040091,              0.0757,              0.0027,              0.0027
                   1,            0.070972,            0.034411,            0.037435,              0.2609,             0.40565,             0.25511,             0.10022,             0.07563,            0.013649,            0.030655,            0.050391,           0.0053911,           0.0053911
                   2,            0.067752,            0.030983,            0.029204,             0.29116,             0.54063,             0.43358,             0.20238,            0.064105,            0.011017,            0.024993,            0.024971,           0.0079713,           0.0079713
                   3,            0.064462,            0.027826,            0.025177,             0.68725,             0.34556,             0.42499,             0.24073,            0.062304,           0.0098933,            0.022055,            0.009406,            0.009406,            0.009406
                   4,            0.059532,            0.026633,            0.023051,             0.35753,             0.65713,             0.52573,             0.30066,            0.061553,            0.011034,            0.020126,            0.009406,            0.009406,            0.009406
                   5,            0.055333,            0.024999,            0.020914,             0.37242,             0.66791,             0.52332,             0.30519,            0.052579,            0.010346,            0.018011,            0.009208,            0.009208,            0.009208
                   6,            0.051814,            0.024994,            0.018374,              0.4191,             0.66622,             0.54039,              0.3062,            0.051505,            0.010305,            0.019291,             0.00901,             0.00901,             0.00901
                   7,            0.046629,            0.024084,            0.018228,              0.4146,             0.62501,             0.52702,             0.33722,            0.044448,             0.01002,            0.019325,            0.008812,            0.008812,            0.008812
                   8,            0.044656,            0.023289,            0.017066,             0.48924,             0.71508,             0.60317,             0.38131,            0.043055,           0.0095405,            0.017752,            0.008614,            0.008614,            0.008614
                   9,            0.043941,            0.022467,            0.015674,             0.46842,             0.60415,             0.53042,             0.34852,            0.044314,            0.010539,            0.022222,            0.008416,            0.008416,            0.008416
                  10,            0.041564,            0.022468,             0.01551,             0.51085,             0.60664,             0.54741,             0.38419,            0.042645,            0.010544,            0.019845,            0.008218,            0.008218,            0.008218
                  11,            0.042436,            0.023684,            0.014611,             0.50736,             0.63491,             0.55806,             0.37996,            0.043298,            0.010101,            0.018888,             0.00802,             0.00802,             0.00802
                  12,            0.039413,            0.022761,            0.013483,             0.42586,              0.6836,             0.57118,              0.4021,            0.041771,            0.010641,            0.018425,            0.007822,            0.007822,            0.007822
                  13,            0.037636,            0.021516,            0.014297,               0.554,             0.66794,             0.57302,             0.39284,            0.042495,            0.010222,             0.01749,            0.007624,            0.007624,            0.007624
                  14,            0.037906,            0.022842,            0.012446,             0.49288,             0.62938,              0.5565,             0.38884,            0.041359,            0.010535,            0.019184,            0.007426,            0.007426,            0.007426
                  15,            0.036905,            0.021913,            0.014026,             0.46072,             0.61079,             0.55795,             0.38962,            0.040062,            0.010932,            0.022754,            0.007228,            0.007228,            0.007228
                  16,             0.03598,            0.020496,            0.013808,             0.50901,              0.5658,             0.54246,             0.38731,             0.04023,            0.011104,            0.022927,             0.00703,             0.00703,             0.00703
                  17,            0.036372,            0.019896,            0.013102,             0.53932,              0.6215,             0.57084,             0.38648,            0.042778,            0.011353,            0.020729,            0.006832,            0.006832,            0.006832
                  18,             0.03519,            0.021634,            0.013862,             0.53485,             0.59297,             0.54831,             0.40129,            0.041244,            0.011439,            0.023006,            0.006634,            0.006634,            0.006634
                  19,            0.034834,            0.020607,            0.012729,             0.55118,             0.60378,             0.58911,             0.42011,             0.04059,            0.010763,            0.019195,            0.006436,            0.006436,            0.006436
                  20,            0.034748,            0.019678,            0.011944,             0.48516,             0.58946,              0.5827,             0.42223,            0.039953,            0.010765,            0.020771,            0.006238,            0.006238,            0.006238
                  21,             0.03307,            0.020121,            0.012387,             0.50548,             0.62912,              0.5848,              0.4136,            0.041971,            0.011078,            0.020578,             0.00604,             0.00604,             0.00604
                  22,            0.033502,            0.021143,            0.011366,             0.49691,             0.65288,              0.5668,             0.40415,            0.039333,            0.011271,            0.018555,            0.005842,            0.005842,            0.005842
                  23,            0.032221,            0.019906,            0.011653,              0.4725,             0.67114,             0.57711,             0.42511,              0.0408,            0.010997,            0.018296,            0.005644,            0.005644,            0.005644
                  24,             0.03231,            0.020157,            0.010604,              0.4953,             0.63169,             0.57062,             0.43287,            0.039343,            0.011168,            0.021895,            0.005446,            0.005446,            0.005446
                  25,            0.030828,            0.019521,            0.011378,             0.51177,             0.65919,             0.57651,             0.43297,            0.039407,            0.011483,            0.017016,            0.005248,            0.005248,            0.005248
                  26,            0.029254,             0.01785,            0.011907,              0.5638,               0.628,             0.57454,             0.42749,             0.03962,            0.011638,            0.019087,             0.00505,             0.00505,             0.00505
                  27,            0.030479,            0.018893,             0.01072,             0.57182,             0.62059,             0.58962,             0.43168,            0.039081,            0.011483,            0.014301,            0.004852,            0.004852,            0.004852
                  28,            0.029956,            0.018337,             0.01122,             0.54739,             0.62145,             0.57516,              0.4223,            0.039237,            0.012018,            0.018553,            0.004654,            0.004654,            0.004654
                  29,            0.030179,            0.018587,           0.0096161,             0.55282,             0.60505,             0.58116,             0.43508,            0.038772,            0.011749,            0.019166,            0.004456,            0.004456,            0.004456
                  30,            0.028921,            0.019199,            0.011114,             0.53519,             0.61599,             0.59491,             0.45011,            0.038227,            0.011871,            0.018133,            0.004258,            0.004258,            0.004258
                  31,            0.028877,            0.018333,            0.010543,             0.53159,             0.63323,             0.59419,             0.44943,            0.038821,             0.01172,            0.019464,             0.00406,             0.00406,             0.00406
                  32,             0.02715,            0.017214,            0.010825,             0.57966,              0.6083,             0.61011,             0.46383,            0.038686,            0.011989,            0.016372,            0.003862,            0.003862,            0.003862
                  33,            0.026849,            0.017267,            0.010926,             0.53751,             0.63204,             0.61783,             0.46141,            0.038222,            0.011977,            0.017397,            0.003664,            0.003664,            0.003664
                  34,            0.027252,            0.017774,            0.010953,             0.56195,             0.60541,             0.60929,             0.45698,             0.03906,            0.011923,             0.01641,            0.003466,            0.003466,            0.003466
                  35,            0.026393,            0.018028,            0.010102,             0.55719,             0.63731,             0.62275,              0.4645,            0.037901,            0.011773,            0.015901,            0.003268,            0.003268,            0.003268
                  36,             0.02619,            0.016207,           0.0097501,             0.61522,             0.57429,             0.61945,             0.45627,            0.038418,             0.01214,            0.016567,             0.00307,             0.00307,             0.00307
                  37,            0.026181,            0.017101,            0.010072,             0.56798,             0.63257,             0.62202,             0.45823,            0.037415,            0.012109,            0.014112,            0.002872,            0.002872,            0.002872
                  38,            0.026027,            0.015902,           0.0091944,             0.64218,             0.62736,             0.64356,             0.45575,            0.037984,            0.012091,            0.014352,            0.002674,            0.002674,            0.002674
                  39,            0.026062,            0.017133,           0.0093279,             0.58999,             0.62613,             0.63529,             0.47377,            0.037342,            0.012094,            0.013851,            0.002476,            0.002476,            0.002476
                  40,            0.024688,            0.016729,           0.0094867,             0.65484,             0.61567,             0.66563,             0.48328,            0.036789,            0.012031,            0.013303,            0.002278,            0.002278,            0.002278
                  41,            0.023612,            0.016326,           0.0098565,             0.64841,             0.60997,             0.65089,             0.49153,            0.036675,            0.011876,            0.013473,             0.00208,             0.00208,             0.00208
                  42,            0.024838,            0.016547,           0.0093483,             0.62263,             0.63603,             0.64962,             0.48762,            0.037137,            0.012032,            0.015409,            0.001882,            0.001882,            0.001882
                  43,              0.0239,            0.016428,           0.0083752,             0.65168,             0.59402,              0.6371,             0.47904,            0.036852,            0.012365,            0.017699,            0.001684,            0.001684,            0.001684
                  44,            0.023218,            0.016354,           0.0090835,             0.63916,             0.58669,             0.62799,             0.46853,            0.037301,            0.012752,            0.016293,            0.001486,            0.001486,            0.001486
                  45,            0.023771,            0.015897,           0.0086762,             0.68602,             0.58332,             0.62778,             0.47181,            0.037396,            0.012756,            0.016113,            0.001288,            0.001288,            0.001288
                  46,            0.023285,             0.01572,           0.0087245,             0.66759,             0.57705,              0.6271,             0.46559,            0.037565,            0.012936,             0.01556,             0.00109,             0.00109,             0.00109
                  47,            0.022762,            0.015287,           0.0076547,             0.64685,             0.58996,              0.6322,              0.4772,            0.037487,            0.012773,            0.016026,            0.000892,            0.000892,            0.000892
                  48,            0.022547,             0.01504,           0.0083337,              0.6606,             0.60825,             0.63897,             0.48092,            0.037594,            0.012676,            0.016106,            0.000694,            0.000694,            0.000694
                  49,            0.023274,            0.015558,           0.0077592,             0.67081,             0.57941,             0.63045,             0.47209,             0.03753,            0.012724,             0.01675,            0.000496,            0.000496,            0.000496
