               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10067,             0.02737,            0.049125,             0.36431,            0.034528,             0.15359,            0.065575,             0.07785,            0.015291,            0.040722,              0.0757,              0.0027,              0.0027
                   1,            0.072621,            0.028433,            0.038289,              0.1702,             0.58271,             0.24438,             0.13202,            0.072034,            0.013123,             0.03122,            0.050391,           0.0053911,           0.0053911
                   2,            0.065013,            0.026401,            0.030849,              0.3035,             0.51628,             0.40213,             0.19704,            0.066435,            0.010398,            0.026324,            0.024971,           0.0079713,           0.0079713
                   3,            0.063615,            0.023991,            0.025324,             0.23077,             0.50082,             0.30508,             0.13579,            0.066127,           0.0097601,            0.022398,            0.009406,            0.009406,            0.009406
                   4,            0.057558,            0.023009,            0.024633,             0.32775,             0.60935,             0.46185,             0.27707,            0.059702,            0.010394,            0.020653,            0.009406,            0.009406,            0.009406
                   5,            0.054222,            0.021885,            0.020883,             0.39066,             0.57662,             0.49669,             0.29501,             0.05625,            0.010007,            0.018324,            0.009208,            0.009208,            0.009208
                   6,            0.050941,            0.021445,            0.016655,             0.43872,             0.60476,             0.52826,             0.32221,            0.053608,           0.0097625,            0.019668,             0.00901,             0.00901,             0.00901
                   7,            0.047546,            0.021022,            0.018004,             0.42312,             0.63261,             0.47391,             0.30354,            0.048906,           0.0099219,            0.018409,            0.008812,            0.008812,            0.008812
                   8,            0.045386,            0.020443,            0.016197,             0.54283,             0.64455,             0.58155,             0.36137,            0.048336,           0.0096275,            0.017556,            0.008614,            0.008614,            0.008614
                   9,            0.044422,            0.019836,            0.015961,             0.51179,             0.63337,             0.57467,             0.38869,            0.044627,           0.0099678,            0.020754,            0.008416,            0.008416,            0.008416
                  10,            0.041982,            0.020609,            0.015926,             0.53379,             0.61438,             0.56331,             0.36624,            0.045453,            0.010645,            0.018318,            0.008218,            0.008218,            0.008218
                  11,            0.041368,            0.020417,            0.013627,             0.52914,             0.61812,             0.58464,             0.38157,            0.045491,            0.010311,            0.020348,             0.00802,             0.00802,             0.00802
                  12,            0.040447,            0.019676,            0.012465,             0.63332,             0.57261,             0.62972,             0.42492,            0.042998,            0.010053,            0.017767,            0.007822,            0.007822,            0.007822
                  13,            0.039145,            0.019509,            0.013001,              0.5301,             0.60329,             0.58755,             0.36776,            0.045341,            0.010158,            0.018455,            0.007624,            0.007624,            0.007624
                  14,            0.038474,            0.020674,            0.011298,             0.61886,             0.64014,             0.62976,             0.43173,            0.042406,            0.010311,            0.015081,            0.007426,            0.007426,            0.007426
                  15,            0.038291,            0.019406,             0.01151,             0.60491,             0.66079,             0.63791,             0.42701,            0.040678,            0.010469,            0.018859,            0.007228,            0.007228,            0.007228
                  16,            0.036983,             0.01869,            0.010788,             0.61213,             0.60267,             0.60667,             0.39395,            0.042925,            0.010395,            0.017943,             0.00703,             0.00703,             0.00703
                  17,            0.036572,            0.017392,            0.010107,             0.67491,               0.631,             0.66696,             0.45626,            0.040809,            0.010391,            0.013199,            0.006832,            0.006832,            0.006832
                  18,            0.036457,             0.01891,           0.0097613,             0.66912,             0.60343,             0.63597,             0.44911,            0.041547,            0.010245,            0.016978,            0.006634,            0.006634,            0.006634
                  19,            0.034425,            0.017822,            0.010718,              0.6939,             0.65306,             0.68637,             0.49909,            0.038653,            0.010314,            0.014893,            0.006436,            0.006436,            0.006436
                  20,            0.034379,            0.017545,           0.0086672,             0.70436,             0.64475,             0.68196,             0.47703,            0.040454,            0.010465,            0.016136,            0.006238,            0.006238,            0.006238
                  21,            0.034492,            0.017974,           0.0084953,             0.68683,              0.5998,             0.66563,             0.45215,            0.040669,            0.010413,            0.013612,             0.00604,             0.00604,             0.00604
                  22,            0.033827,            0.018669,           0.0076047,             0.67221,              0.6234,             0.66121,             0.44373,            0.040574,            0.010255,            0.013235,            0.005842,            0.005842,            0.005842
                  23,            0.032724,            0.017566,           0.0088403,             0.66686,              0.6307,             0.66708,             0.49986,            0.040694,            0.010678,            0.012606,            0.005644,            0.005644,            0.005644
