               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11348,            0.086273,                   0,            0.062655,             0.31238,            0.043534,            0.011316,            0.099682,            0.086932,                   0,            0.070667,           0.0032593,           0.0032593
                   1,            0.084131,            0.078019,                   0,             0.33906,             0.28094,              0.2465,            0.057263,            0.082273,             0.06265,                   0,            0.040536,           0.0064621,           0.0064621
                   2,            0.080445,            0.071145,                   0,              0.2089,              0.3389,             0.15855,            0.037235,            0.087068,            0.040131,                   0,            0.010274,           0.0095329,           0.0095329
                   3,            0.072226,            0.070409,                   0,             0.63155,             0.66601,             0.65594,             0.24412,            0.062511,            0.055059,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.063133,            0.067611,                   0,             0.63857,             0.57447,             0.60322,             0.24078,            0.056832,            0.043875,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.056204,            0.065984,                   0,             0.85759,             0.76228,             0.82809,             0.36615,            0.043393,             0.05113,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.05357,            0.063483,                   0,             0.90365,             0.82711,             0.89148,             0.42829,            0.044604,            0.040926,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.049502,            0.060985,                   0,              0.8835,             0.81336,             0.87549,             0.41616,            0.041328,             0.04491,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047733,            0.060956,                   0,             0.90607,             0.82515,             0.89194,              0.4502,            0.041756,             0.04392,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.046349,            0.061711,                   0,             0.84959,              0.7047,             0.78429,             0.32759,            0.050484,            0.046865,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043079,              0.0559,                   0,             0.89431,             0.85615,              0.9193,             0.45021,            0.041983,            0.041379,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.04324,            0.058502,                   0,             0.89508,              0.8556,             0.91221,             0.46105,            0.041225,             0.04313,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.042069,            0.054804,                   0,              0.9145,              0.8389,             0.90669,             0.46504,             0.03742,             0.04065,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040702,             0.05383,                   0,             0.87446,             0.80741,             0.86083,             0.41883,            0.044336,            0.041776,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.041207,            0.055396,                   0,             0.91269,             0.85167,             0.91043,             0.46558,            0.037063,            0.041334,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.039049,            0.055713,                   0,             0.91277,             0.84086,             0.90822,             0.46912,            0.038442,            0.042468,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.03874,            0.054146,                   0,             0.89096,             0.85077,             0.90732,              0.4756,            0.034847,            0.041837,                   0,             0.00703,             0.00703,             0.00703
