               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1011,            0.032302,            0.048935,             0.40263,            0.076906,             0.14403,            0.060218,            0.077014,            0.015221,            0.040686,              0.0757,              0.0027,              0.0027
                   1,            0.072381,            0.034074,            0.038879,              0.1605,             0.46055,             0.22278,              0.1009,            0.072812,            0.015867,            0.032406,            0.050391,           0.0053911,           0.0053911
                   2,             0.06631,            0.031235,            0.030977,              0.1938,             0.50656,             0.29081,             0.13867,            0.073867,            0.012238,            0.027884,            0.024971,           0.0079713,           0.0079713
                   3,            0.065125,            0.027597,            0.027173,             0.69838,             0.26021,             0.35155,             0.16894,            0.063841,            0.010258,            0.023947,            0.009406,            0.009406,            0.009406
                   4,            0.059682,            0.027266,            0.025105,             0.30679,             0.55482,             0.47839,             0.22445,            0.062378,            0.011427,            0.021866,            0.009406,            0.009406,            0.009406
                   5,            0.056629,            0.025644,            0.022917,             0.31032,             0.61524,             0.40507,             0.24022,            0.057144,            0.010611,            0.019515,            0.009208,            0.009208,            0.009208
                   6,            0.053246,             0.02563,            0.019837,             0.44232,             0.59553,             0.52238,             0.29246,            0.052296,            0.010935,            0.020045,             0.00901,             0.00901,             0.00901
                   7,            0.047798,            0.024842,            0.019429,             0.35279,             0.56791,             0.44215,             0.28171,            0.047807,            0.010688,            0.021105,            0.008812,            0.008812,            0.008812
                   8,            0.044485,            0.024186,            0.018129,             0.46881,             0.63784,             0.54192,             0.36665,            0.043628,            0.010728,            0.022212,            0.008614,            0.008614,            0.008614
                   9,            0.045039,            0.023514,            0.016512,              0.4701,             0.64468,             0.56656,             0.36531,            0.045053,            0.010965,             0.02048,            0.008416,            0.008416,            0.008416
                  10,            0.042493,            0.023867,            0.017492,             0.43295,             0.62738,             0.52876,              0.3476,            0.044235,            0.011337,             0.02168,            0.008218,            0.008218,            0.008218
                  11,            0.041909,            0.025153,            0.016767,             0.47911,             0.63789,             0.53636,             0.36108,            0.045245,            0.011043,            0.017989,             0.00802,             0.00802,             0.00802
                  12,            0.040959,             0.02368,            0.014497,             0.45585,             0.66031,             0.54519,             0.38126,            0.044081,            0.010947,              0.0188,            0.007822,            0.007822,            0.007822
