               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12135,            0.067925,                   0,           0.0078431,             0.15717,           0.0065242,           0.0016097,             0.10733,            0.062206,                   0,              0.0775,              0.0025,              0.0025
                   1,             0.10072,            0.074138,                   0,             0.33867,             0.24754,             0.19304,            0.058838,            0.099848,             0.11014,                   0,            0.053999,            0.004999,            0.004999
                   2,            0.085687,            0.066811,                   0,             0.25924,             0.41356,             0.19913,            0.050307,            0.091358,            0.099172,                   0,            0.030395,           0.0073951,           0.0073951
                   3,            0.086957,            0.059827,                   0,             0.22515,             0.45088,             0.22712,             0.07427,            0.076294,            0.060281,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.077597,            0.059621,                   0,             0.29258,             0.42253,              0.2661,            0.062376,            0.079615,             0.05964,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.070014,            0.061348,                   0,             0.38757,             0.43811,             0.31524,             0.10988,            0.067581,            0.063446,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.06332,            0.053643,                   0,             0.41767,             0.55591,             0.39138,              0.1284,            0.061116,            0.057801,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.059139,            0.056763,                   0,             0.75696,             0.76228,             0.76761,             0.31965,            0.049821,            0.062698,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.059539,            0.055134,                   0,             0.81352,             0.79706,             0.81117,             0.34407,            0.047873,            0.060734,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.055333,            0.053844,                   0,             0.83829,             0.79438,             0.83896,             0.33462,            0.052973,            0.046612,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.051258,            0.054514,                   0,             0.76718,             0.74448,             0.80563,             0.37944,            0.050732,             0.04311,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.050086,            0.051206,                   0,             0.86964,             0.78094,             0.85357,             0.41177,            0.041044,            0.048238,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.051275,            0.052203,                   0,              0.8902,             0.81232,             0.87429,             0.41049,            0.044199,            0.042177,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.049486,             0.05373,                   0,             0.85647,             0.79371,             0.84029,             0.36116,            0.048632,            0.042613,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.047736,            0.049888,                   0,             0.86325,              0.7721,             0.83551,             0.37337,            0.046939,             0.04378,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.047789,            0.050951,                   0,             0.88141,             0.83399,             0.88909,             0.45285,            0.038189,            0.042471,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.046257,            0.049788,                   0,             0.91885,             0.82024,             0.89613,             0.46436,            0.039176,            0.040353,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.044338,            0.047804,                   0,              0.9301,              0.8222,             0.90109,             0.44411,            0.039407,            0.041068,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.04568,            0.046478,                   0,             0.90922,              0.8658,             0.90979,             0.46899,            0.037754,            0.039191,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.043889,            0.047589,                   0,             0.88416,             0.84723,             0.89085,             0.42399,            0.044619,            0.040959,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.043016,            0.048383,                   0,             0.92299,             0.85953,             0.91571,             0.47039,            0.038526,            0.038456,                   0,            0.006238,            0.006238,            0.006238
