               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1098,            0.024832,            0.051181,           0.0050866,             0.72637,            0.022086,           0.0061399,            0.091841,            0.015768,            0.048443,              0.0865,              0.0015,              0.0015
                   1,            0.084961,            0.030392,            0.045848,             0.27666,             0.20451,             0.20572,            0.091614,            0.073479,            0.014733,            0.038187,            0.072039,           0.0030386,           0.0030386
                   2,            0.071653,             0.02978,            0.036943,             0.22631,             0.52584,             0.27308,            0.094259,            0.073839,            0.014289,            0.032714,            0.057514,           0.0045139,           0.0045139
                   3,            0.067282,            0.025563,            0.034035,             0.23788,             0.42274,               0.334,             0.19512,            0.070605,            0.012131,             0.02984,            0.042926,           0.0059258,           0.0059258
                   4,            0.064951,            0.024341,            0.030089,             0.70183,             0.30893,             0.35538,             0.15845,            0.066167,            0.011045,             0.02679,            0.028274,           0.0072743,           0.0072743
                   5,            0.065077,            0.024953,            0.026746,             0.66131,             0.29417,             0.35583,             0.19216,            0.070773,            0.010009,            0.024009,             0.01356,           0.0085595,           0.0085595
                   6,             0.06524,            0.021974,            0.023101,             0.75656,              0.2852,             0.40934,             0.23906,            0.063443,           0.0097085,            0.022457,            0.008812,            0.008812,            0.008812
                   7,            0.060068,            0.021574,            0.021886,             0.32164,             0.60212,             0.46266,             0.24519,            0.058988,           0.0098614,            0.020833,            0.008812,            0.008812,            0.008812
                   8,            0.057667,            0.023437,            0.019747,             0.31655,             0.59569,             0.46552,             0.28124,            0.052934,            0.010301,            0.020385,            0.008614,            0.008614,            0.008614
                   9,            0.054314,            0.020425,            0.018562,             0.32039,             0.58671,             0.45592,             0.29584,            0.056338,            0.010203,            0.020834,            0.008416,            0.008416,            0.008416
                  10,            0.053634,            0.021158,            0.018324,             0.33889,             0.58338,             0.42806,             0.25772,            0.052666,            0.010084,            0.018798,            0.008218,            0.008218,            0.008218
                  11,            0.049735,            0.021876,            0.016584,             0.33641,             0.60388,             0.42515,             0.27349,            0.054642,           0.0098093,            0.017057,             0.00802,             0.00802,             0.00802
                  12,            0.048582,            0.019731,            0.016102,             0.34166,             0.57687,             0.41898,             0.27483,            0.053089,            0.009605,              0.0174,            0.007822,            0.007822,            0.007822
                  13,            0.047631,            0.020705,            0.013254,             0.44304,             0.60077,             0.52063,             0.29343,            0.047003,            0.010004,            0.019147,            0.007624,            0.007624,            0.007624
                  14,            0.044612,            0.019649,            0.013446,             0.43996,             0.59672,             0.53549,             0.32718,            0.046585,            0.010039,            0.017887,            0.007426,            0.007426,            0.007426
                  15,            0.043216,            0.018845,            0.013818,             0.46325,              0.6433,             0.56114,             0.35839,            0.048174,           0.0098252,            0.017711,            0.007228,            0.007228,            0.007228
                  16,            0.043272,            0.019265,            0.013043,             0.55264,             0.63828,             0.59179,             0.39054,            0.043128,           0.0099952,            0.018507,             0.00703,             0.00703,             0.00703
                  17,            0.040598,            0.018976,            0.012709,             0.49908,             0.62058,             0.57401,             0.37232,            0.047482,            0.010193,            0.017861,            0.006832,            0.006832,            0.006832
