               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1329,            0.052308,                   0,           0.0030882,            0.061886,           0.0018393,          0.00042275,             0.12106,            0.042764,                   0,              0.0775,              0.0025,              0.0025
                   1,             0.11775,            0.057959,                   0,            0.037537,             0.13949,            0.019695,           0.0045643,             0.11376,            0.052363,                   0,            0.053999,            0.004999,            0.004999
                   2,             0.10269,            0.059538,                   0,             0.20635,             0.16405,             0.10805,            0.024988,             0.10103,            0.069397,                   0,            0.030395,           0.0073951,           0.0073951
                   3,            0.094327,            0.060496,                   0,             0.11782,             0.31532,            0.073908,             0.01658,             0.10085,            0.050784,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.085571,            0.062677,                   0,             0.19951,             0.41061,             0.14671,              0.0456,            0.081649,             0.11194,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.076415,            0.067048,                   0,             0.36046,             0.44404,             0.28687,            0.093155,            0.065384,             0.06758,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.069651,            0.062209,                   0,             0.19868,             0.47348,             0.19254,            0.057269,            0.064967,             0.11473,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.066458,            0.066255,                   0,             0.27037,             0.55501,             0.28922,            0.095966,            0.063549,            0.072895,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.065943,            0.063258,                   0,             0.41074,             0.55305,             0.39993,             0.14935,            0.057606,            0.055945,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.061304,            0.063868,                   0,             0.69172,               0.611,             0.61037,             0.20275,            0.053949,            0.053043,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.06058,            0.063308,                   0,             0.72441,             0.60939,             0.64279,             0.22953,            0.050498,             0.05262,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.057898,            0.058764,                   0,             0.72846,             0.67387,             0.69922,             0.29124,            0.052637,            0.056558,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.057301,            0.060347,                   0,              0.7326,             0.74011,             0.73698,             0.31607,             0.04814,            0.051444,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.05425,            0.062031,                   0,             0.76272,             0.72626,             0.76103,             0.31288,            0.049409,            0.057666,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.056511,            0.057632,                   0,             0.81399,             0.74165,             0.80949,             0.35309,            0.044691,            0.048009,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.05292,            0.059164,                   0,             0.83075,             0.75699,             0.81683,             0.31289,            0.055402,            0.046524,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.055811,            0.057605,                   0,             0.81065,             0.77505,             0.82751,              0.3581,            0.052781,            0.046002,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.052183,             0.05579,                   0,             0.89225,             0.75147,             0.85363,             0.40357,            0.043656,            0.043961,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.051918,            0.054166,                   0,             0.87906,             0.78978,             0.85176,             0.40117,            0.042948,             0.04495,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.050945,            0.055941,                   0,             0.82664,             0.80747,             0.85883,             0.38369,            0.046171,            0.050784,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.049263,            0.056839,                   0,             0.84209,             0.75957,             0.82979,             0.35439,            0.049548,            0.047718,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.049965,            0.056345,                   0,             0.84932,             0.79273,             0.84366,             0.34774,            0.048788,            0.047018,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.050682,            0.054545,                   0,             0.85687,             0.75274,             0.83058,             0.36793,            0.047009,            0.049127,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.047903,            0.053435,                   0,              0.8542,             0.73969,              0.8155,             0.33686,            0.048425,            0.046286,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.050674,            0.057756,                   0,             0.87415,             0.76416,             0.84677,              0.3815,            0.043308,            0.043824,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.048123,            0.055181,                   0,             0.87687,             0.79051,             0.85496,              0.4105,            0.043228,            0.046315,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.046599,            0.054112,                   0,             0.84741,             0.77603,             0.83331,             0.34747,            0.048802,            0.045333,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.048065,            0.055866,                   0,             0.85906,             0.79633,             0.85389,             0.39823,            0.043858,            0.043723,                   0,            0.004852,            0.004852,            0.004852
                  28,               0.047,            0.052917,                   0,             0.89966,             0.77509,             0.86212,             0.40421,            0.042002,            0.044511,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.046145,            0.051832,                   0,             0.88012,              0.7947,             0.86604,             0.39705,            0.042609,            0.043701,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.046148,            0.056272,                   0,             0.89592,             0.81179,             0.87307,             0.40817,            0.043013,            0.043072,                   0,            0.004258,            0.004258,            0.004258
