               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12528,            0.023916,            0.053072,            0.021328,            0.022433,            0.012479,           0.0036826,             0.11176,            0.015201,            0.046404,              0.0865,              0.0015,              0.0015
                   1,             0.10589,            0.025467,            0.046419,            0.056029,            0.062601,            0.033034,            0.011369,             0.09162,            0.014792,            0.039274,            0.072039,           0.0030386,           0.0030386
                   2,            0.087278,            0.028836,             0.03897,             0.10291,              0.3136,             0.11183,             0.04617,            0.078784,            0.015276,            0.035726,            0.057514,           0.0045139,           0.0045139
                   3,            0.078896,            0.026621,            0.036999,              0.1809,             0.41334,             0.23387,            0.082226,            0.075813,            0.016184,            0.033535,            0.042926,           0.0059258,           0.0059258
                   4,            0.075256,            0.025443,            0.034591,              0.1985,              0.3652,             0.16985,            0.079401,            0.079593,            0.013761,            0.030979,            0.028274,           0.0072743,           0.0072743
                   5,            0.072433,             0.02705,              0.0329,             0.22396,             0.41688,             0.22416,              0.0932,            0.081751,            0.013061,            0.030246,             0.01356,           0.0085595,           0.0085595
                   6,            0.070804,            0.024549,            0.030901,             0.27143,             0.33356,             0.24654,             0.10576,            0.071774,            0.013567,             0.03036,            0.008812,            0.008812,            0.008812
                   7,            0.068986,            0.023647,            0.029389,             0.29926,             0.37706,             0.29444,             0.14475,            0.065646,            0.013388,            0.029666,            0.008812,            0.008812,            0.008812
                   8,            0.065261,            0.026221,            0.027431,             0.24758,             0.39898,             0.30699,             0.13993,            0.063725,            0.014559,            0.028955,            0.008614,            0.008614,            0.008614
                   9,            0.060955,              0.0238,            0.026453,             0.19878,             0.47024,             0.28611,             0.13287,            0.063577,            0.013247,            0.027166,            0.008416,            0.008416,            0.008416
                  10,            0.060789,            0.024653,            0.025924,              0.1792,              0.4584,              0.2576,             0.10972,            0.060878,             0.01289,            0.025764,            0.008218,            0.008218,            0.008218
                  11,            0.058399,            0.025117,            0.024308,             0.32441,             0.47766,             0.37895,             0.19962,            0.057105,            0.012534,            0.022951,             0.00802,             0.00802,             0.00802
                  12,            0.056676,            0.023338,            0.024027,             0.31025,             0.47396,             0.38552,             0.22612,            0.055572,            0.011836,            0.022832,            0.007822,            0.007822,            0.007822
                  13,            0.055417,            0.025022,            0.020353,             0.30738,             0.44885,             0.36743,              0.1701,            0.059426,            0.011228,            0.022503,            0.007624,            0.007624,            0.007624
                  14,             0.05272,            0.023565,              0.0214,             0.41919,             0.44743,             0.42269,             0.21903,            0.055575,            0.011268,            0.023525,            0.007426,            0.007426,            0.007426
